IJT,"S&P Small-Cap 600 Growth Ishares ETF",175.86,-0.49,-0.28%,20,0.0%,100.0%,0,09/29/20
EWH,"Hong Kong Ishares MSCI ETF",21.78,-0.04,-0.18%,20,90.0%,10.0%,9,09/29/20
BLCN,"Reality Shares Nasdaq Nextgen Economy ETF",34.08,-0.11,-0.32%,20,10.0%,90.0%,0.11111111111111,09/29/20
HOD.TO,"Betapro Crude Oil 2X Daily Bear ETF",10.45,0.38,+3.77%,18,83.3%,16.7%,5,"16:02 ET"
HYD,"High Yld Muni ETF Vaneck",59.71,0.02,+0.03%,18,66.7%,33.3%,2,"16:01 ET"
ZUT.TO,"BMO Equal Weight Utilities Index ETF",22.76,0.27,+1.20%,17,5.9%,94.1%,0.0625,"16:02 ET"
SPLV,"S&P 500 Low Vol Invesco ETF",53.29,-0.21,-0.39%,17,52.9%,47.1%,1.125,09/29/20
GERM,"Etfmg Treatments Testing and Advancements ETF",27.49,0.24,+0.87%,17,0.0%,100.0%,0,09/29/20
WEAT,"Teucrium Wheat",5.49,0,0.00%,17,0.0%,100.0%,0,09/29/20
IWN,"Russell 2000 Value Ishares ETF",99.09,-0.9,-0.90%,17,17.6%,82.4%,0.21428571428571,09/29/20
SRS,"Ultrashort Real Estate Proshares",14.89,0.2,+1.40%,17,29.4%,70.6%,0.41666666666667,"16:01 ET"
VFV.TO,"Vanguard S&P 500 Index ETF",79.26,-0.49,-0.61%,16,0.0%,100.0%,0,"16:02 ET"
VOOG,"S&P 500 Growth ETF Vanguard",207.2,-0.76,-0.37%,16,0.0%,100.0%,0,09/29/20
EWM,"Malaysia Ishares MSCI ETF",26.15,0.04,+0.15%,16,62.5%,37.5%,1.6666666666667,09/29/20
IVW,"S&P 500 Growth Ishares ETF",229.65,-0.84,-0.36%,16,0.0%,100.0%,0,09/29/20
SPLG,"SPDR Large Cap Portfolio ETF",39.06,-0.21,-0.53%,15,100.0%,0.0%,0,09/29/20
ITOT,"S&P Total US Stock Market Ishares Core ETF",74.93,-0.37,-0.49%,15,0.0%,100.0%,0,09/29/20
CIBR,"Nasdaq Cybersecurity ETF FT",34.83,-0.06,-0.17%,15,0.0%,100.0%,0,09/29/20
HDGE,"Active Bear ETF",4.5,0.04,+0.90%,15,0.0%,100.0%,0,"16:01 ET"
SDIV,"G-X Superdividend ETF",10.7,-0.02,-0.19%,15,73.3%,26.7%,2.75,09/29/20
