HPE,"Hewlett Packard Enterprise Comp",9.77,0.35,+3.72%,3128,31.1%,68.9%,0.45150812064965,10/05/20
SAVA,"Cassava Sciences Inc",11.57,0.91,+8.54%,3108,20.7%,79.3%,0.26085192697769,10/05/20
VER,"Vereit Inc",7.03,0.09,+1.30%,3104,2.6%,97.4%,0.026455026455026,10/05/20
MTOR,"Meritor Inc",24.08,1.46,+6.45%,3101,1.4%,98.6%,0.013729977116705,10/05/20
XRX,"Xerox Corp",19.64,0.59,+3.10%,3025,16.3%,83.7%,0.19423608369522,10/05/20
NVTA,"Invitae Corp",45.4,2.97,+7.00%,3018,23.1%,76.9%,0.29974160206718,10/05/20
MDB,"Mongodb Inc Cl A",238.69,4.37,+1.86%,3014,48.0%,52.0%,0.92464878671775,10/05/20
SYF,"Synchrony Financial",28.38,0.92,+3.35%,3011,29.3%,70.7%,0.41427900422734,10/05/20
ARA,"American Renal Associates",11.59,0.07,+0.61%,3007,80.8%,19.2%,4.2024221453287,10/05/20
LNC,"Lincoln National Corp",34.29,1.65,+5.06%,2950,48.4%,51.6%,0.93823915900131,10/05/20
BCLI,"Brainstorm Cell",16.6,1.31,+8.57%,2949,54.0%,46.0%,1.1715758468336,10/05/20
NTNX,"Nutanix Inc",22.03,-0.22,-0.99%,2947,34.2%,65.8%,0.51985559566787,10/05/20
TSN,"Tyson Foods",59,-0.31,-0.52%,2917,57.8%,42.2%,1.3696181965881,10/05/20
FTNT,"Fortinet Inc",119.09,2.71,+2.33%,2905,39.1%,60.9%,0.64309954751131,10/05/20
HES,"Hess Corp",39.36,1.65,+4.38%,2893,60.0%,40.0%,1.5025951557093,10/05/20
ACN,"Accenture Plc",223.49,1.09,+0.49%,2890,61.4%,38.6%,1.589605734767,10/05/20
MELI,"Mercadolibre Inc",1090.58,11.25,+1.04%,2887,34.5%,65.5%,0.52670544685352,10/05/20
BGFV,"Big 5 Sporting",7.99,0.13,+1.65%,2886,27.9%,72.1%,0.38616714697406,10/05/20
AYX,"Alteryx Inc",113.88,0.79,+0.70%,2880,31.5%,68.5%,0.45896656534954,10/05/20
OI,Owens-Illinois,11.84,0.51,+4.50%,2868,0.8%,99.2%,0.0080843585237258,10/05/20
VIPS,"Vipshop Holdings Ltd",14.98,-0.37,-2.41%,2866,6.7%,93.3%,0.072203516647961,10/05/20
EPR,"Entertainment Properties Trust",25.4,-3.23,-11.28%,2845,68.3%,31.7%,2.1506090808416,10/05/20
MIK,"The Michaels Comp",10.01,0.3,+3.09%,2823,14.8%,85.2%,0.17331670822943,10/05/20
CAH,"Cardinal Health",47.15,0.85,+1.84%,2813,30.9%,69.1%,0.44776119402985,10/05/20
