IJR,"S&P Small-Cap Ishares Core ETF",70.56,2.08,+3.04%,105,30.5%,69.5%,0.43835616438356,"11:24 ET"
SPYG,"SPDR S&P 500 Growth Portfolio ETF",49.76,0.66999999999999,+1.36%,104,9.6%,90.4%,0.1063829787234,"11:26 ET"
YANG,"FTSE China Bear 3X Direxion",26.09,-1.08,-3.97%,102,26.5%,73.5%,0.36,"11:20 ET"
IVV,"S&P 500 Ishares Core ETF",334.91,5.03,+1.52%,101,11.9%,88.1%,0.13483146067416,"11:25 ET"
IPO,"Renaissance IPO ETF",52.12,0.73999999999999,+1.44%,99,13.1%,86.9%,0.15116279069767,"11:20 ET"
DRN,"Real Estate Bull 3X Direxion",10.21,0.68,+7.14%,96,63.5%,36.5%,1.7428571428571,"11:24 ET"
ARKW,"Ark Next Generation Internet ETF",107.75,1.75,+1.65%,94,22.3%,77.7%,0.28767123287671,"11:23 ET"
XEG.TO,"Ishares S&P TSX Capped Energy Index ETF",4.37,0.11,+2.58%,92,27.2%,72.8%,0.37313432835821,"11:10 ET"
VGT,"Information Technology ETF Vanguard",308.78,4.42,+1.45%,90,15.6%,84.4%,0.18421052631579,"11:26 ET"
DVY,"Select Dividend Ishares ETF",82.01,1.5,+1.86%,86,31.4%,68.6%,0.45762711864407,"11:22 ET"
EWP,"Spain Ishares MSCI ETF",21.96,0.47,+2.19%,81,100.0%,0.0%,0,"11:24 ET"
SCHD,"Schwab US Dividend Equity ETF",55.47,1.2,+2.21%,81,53.1%,46.9%,1.1315789473684,"11:25 ET"
EDC,"Emrg Mkts Bull 3X Direxion",54.98,1.49,+2.79%,80,13.8%,86.3%,0.15942028985507,"11:08 ET"
ITA,"US Aerospace & Defense Ishares ETF",163.2,4.76,+3.00%,74,50.0%,50.0%,1,"11:21 ET"
BIB,"Ultra Nasdaq Biotech Proshares",68.84,0.78,+1.15%,73,46.6%,53.4%,0.87179487179487,"11:16 ET"
VIG,"Dividend Appreciation ETF Vanguard",129.06,1.92,+1.51%,72,25.0%,75.0%,0.33333333333333,"11:24 ET"
TIP,"TIPS Bond Ishares ETF",126.53,0.12,+0.09%,72,4.2%,95.8%,0.043478260869565,"11:24 ET"
KOLD,"Ultrashort Natural Gas Proshares",31.85,0.2,+0.63%,72,16.7%,83.3%,0.2,"11:20 ET"
SOXS,"Semiconductor Bear 3X Direxion",40.53,-2.61,-6.05%,67,40.3%,59.7%,0.675,"11:24 ET"
UGA,"US Gasoline",20.34,0.18,+0.89%,65,67.7%,32.3%,2.0952380952381,"11:09 ET"
DEM,"Wisdomtree EM High Div Fund",34.89,0.33,+0.95%,62,32.3%,67.7%,0.47619047619048,"11:08 ET"
BOTZ,"G-X Robotics & Artificial Intel Thmtc ETF",27.48,0.32,+1.18%,62,24.2%,75.8%,0.31914893617021,"11:23 ET"
DBC,"DB Commodity Index Fund Invesco",13.02,0.07,+0.54%,59,0.0%,100.0%,0,"11:26 ET"
PFF,"US Preferred Stock Ishares ETF",36.51,0.29,+0.80%,55,32.7%,67.3%,0.48648648648649,"11:26 ET"
ZSL,"Ultrashort Silver Proshares",9.86,-0.36,-3.52%,52,30.8%,69.2%,0.44444444444444,"11:09 ET"
UNL,"US 12 Month Natural Gas",8.77,0.0099999999999998,+0.11%,50,100.0%,0.0%,0,"10:43 ET"
RSP,"S&P 500 EW Invesco ETF",108.44,2.05,+1.93%,49,73.5%,26.5%,2.7692307692308,"11:18 ET"
DIG,"Ultra Oil & Gas Proshares",50.15,1.92,+3.98%,48,10.4%,89.6%,0.11627906976744,"11:11 ET"
ILF,"Latin America 40 Ishares ETF",21.24,-0.010000000000002,-0.05%,48,2.1%,97.9%,0.021276595744681,"11:26 ET"
UWM,"Ultra Russell 2000 Proshares",52.94,2.38,+4.71%,48,39.6%,60.4%,0.6551724137931,"11:26 ET"
EWG,"Germany Ishares MSCI ETF",29.2,0.64,+2.24%,47,10.6%,89.4%,0.11904761904762,"11:26 ET"
ROM,"Ultra Technology Proshares",55.69,1.29,+2.37%,46,17.4%,82.6%,0.21052631578947,"11:07 ET"
IYT,"Transportation Average Ishares ETF",203.53,4.01,+2.01%,45,75.6%,24.4%,3.0909090909091,"11:26 ET"
UDN,"DB US Dollar Index Bearish Fund Invesco",20.8,0.07,+0.35%,44,0.0%,100.0%,0,"10:50 ET"
IHI,"US Medical Devices Ishares ETF",294.58,3.53,+1.21%,44,11.4%,88.6%,0.12820512820513,"11:25 ET"
VXZ,"Ipath S&P 500 VIX Mid-Term Futures ETN",34.52,-0.13999999999999,-0.40%,43,95.3%,4.7%,20.5,"10:49 ET"
VUG,"Growth ETF Vanguard",226.14,3.45,+1.55%,41,43.9%,56.1%,0.78260869565217,"11:24 ET"
MUB,"Natl Muni Bond Ishares ETF",116.09,0.14,+0.12%,40,75.0%,25.0%,3,"11:26 ET"
REMX,"Rare Earth/Strategic Metals Vaneck ETF",37.17,-0.049999999999997,-0.13%,40,7.5%,92.5%,0.081081081081081,"11:25 ET"
CHAD,"CSI 300 China A 1X Direxion",21.42,-0.099999999999998,-0.46%,40,100.0%,0.0%,0,09/28/20
SCHG,"Schwab U.S. Large-Cap Growth ETF",114.08,1.6,+1.42%,40,25.0%,75.0%,0.33333333333333,"11:11 ET"
INDL,"India Bull 3X Direxion",30.63,1.16,+3.94%,39,5.1%,94.9%,0.054054054054054,"11:10 ET"
EWT,"Taiwan Ishares MSCI ETF",44.22,0.9,+2.08%,38,73.7%,26.3%,2.8,"11:25 ET"
VTV,"Value ETF Vanguard",104.68,1.79,+1.74%,38,44.7%,55.3%,0.80952380952381,"11:25 ET"
DDM,"Ultra Dow 30 Proshares",46.36,1.51,+3.37%,38,23.7%,76.3%,0.31034482758621,"11:25 ET"
FDN,"DJ Internet Index First Trust",187.64,2.22,+1.20%,37,27.0%,73.0%,0.37037037037037,"11:26 ET"
HXT.TO,"Horizons S&P Tsx60 Index ETF",37.21,0.44,+1.20%,37,45.9%,54.1%,0.85,"11:07 ET"
