XLY,"S&P 500 Cons Disc Sector SPDR",146.18,0.75,+0.52%,5012,46.4%,53.6%,0.86736214605067,08/21/20
KWEB,"KS Trust KS CSI China Internet ETF",68.52,0.31999999999999,+0.47%,4910,68.2%,31.8%,2.1434058898848,08/21/20
SDOW,"Ultrapro Short Dow 30 Proshares",18.36,-0.43,-2.29%,4812,14.3%,85.7%,0.16682832201746,08/21/20
EWY,"South Korea Ishares MSCI ETF",62.73,0.27999999999999,+0.45%,4718,27.7%,72.3%,0.38398357289528,08/21/20
ARKK,"Ark Innovation ETF",89.83,0.34999999999999,+0.39%,4657,22.8%,77.2%,0.29469001946066,08/21/20
AMJ,"Alerian MLP Index ETN JP Morgan",13.25,-0.13,-0.97%,4630,91.1%,8.9%,10.23786407767,08/21/20
IEI,"3-7 Year Treas Bond Ishares ETF",133.65,0.02,+0.01%,4553,82.3%,17.7%,4.6629353233831,08/21/20
QID,"Ultrashort QQQ Proshares",9.56,-0.13,-1.34%,4441,18.9%,81.1%,0.23258395781293,08/21/20
TAN,"Solar Invesco ETF",52.44,0.43,+0.83%,4412,75.8%,24.2%,3.1272217025257,08/21/20
DUST,"Gold Miners Bear 2X Direxion",18.14,0.88,+5.10%,4363,46.9%,53.1%,0.88385146804836,08/21/20
CORN,"Teucrium Corn",12.15,0,0.00%,4319,5.9%,94.1%,0.063007629830175,08/21/20
GUSH,"S&P Oil & Gas Expl Bull 3X Direxion",32.65,-1.08,-3.20%,4295,11.0%,89.0%,0.12405129547239,08/21/20
XME,"S&P Metals & Mining SPDR",24.16,-0.61,-2.46%,3925,9.7%,90.3%,0.10719322990127,08/21/20
MJ,"Alternative Harvest ETF",12.4,-0.15,-1.20%,3596,68.2%,31.8%,2.1406113537118,08/21/20
VNQ,"Real Estate Vanguard ETF",80.88,0.13,+0.16%,3589,20.1%,79.9%,0.25226796929518,08/21/20
NAIL,"Homebuild & Suppliers Bull 3X Direxion",54.17,3.36,+6.61%,3413,36.0%,64.0%,0.56201372997712,08/21/20
ASHR,"Db-Xt Harvest CSI 300 China A",34.45,-0.039999999999999,-0.12%,3363,20.1%,79.9%,0.25111607142857,08/21/20
SOXS,"Semiconductor Bear 3X Direxion",3.76,-0.08,-2.08%,3291,12.9%,87.1%,0.14829030006978,08/21/20
UDOW,"Ultrapro Dow 30 Proshares",79.78,1.66,+2.12%,3068,12.1%,87.9%,0.1379821958457,08/21/20
IYR,"US Real Estate Ishares ETF",81.31,0.12,+0.15%,3036,37.6%,62.4%,0.60211081794195,08/21/20
ZUT.TO,"BMO Equal Weight Utilities Index ETF",21.86,0.2,+0.92%,3002,0.0%,100.0%,0.00033322225924692,08/21/20
YINN,"FTSE China Bull 3X Direxion",17.17,0.4,+2.39%,2940,4.3%,95.7%,0.044776119402985,08/21/20
VIXY,"VIX Short-Term Futures Proshares",20.18,0.09,+0.45%,2898,27.1%,72.9%,0.37086092715232,08/21/20
XLB,"S&P 500 Materials Sector SPDR",61.89,-0.36,-0.58%,2847,39.8%,60.2%,0.6610268378063,08/21/20
SILJ,"Purefunds ISE Junior Silver ETF",14.81,-0.5,-3.27%,2771,12.0%,88.0%,0.13658736669401,08/21/20
OIH,"Oil Services Vaneck ETF",123.1,-4.88,-3.81%,2747,59.6%,40.4%,1.4770063119928,08/21/20
JDST,"Junior Gold Mine Bear 3X Direxion",11.23,0.57,+5.35%,2711,19.9%,80.1%,0.24815837937385,08/21/20
XHB,"S&P Homebuilders SPDR",53.71,0.81,+1.53%,2687,18.3%,81.7%,0.22470373746582,08/21/20
FAZ,"Financial Bear 3X Direxion",14.82,0.09,+0.61%,2537,12.7%,87.3%,0.14485559566787,08/21/20
XLP,"S&P 500 Cons Staples Sector SPDR",64.3,0.16,+0.25%,2429,42.9%,57.1%,0.75252525252525,08/21/20
SOXL,"Semiconductor Bull 3X Direxion",245.89,5.3,+2.20%,2404,36.8%,63.2%,0.58157894736842,08/21/20
DBA,"DB Agriculture Fund Invesco",14.29,-0.020000000000001,-0.14%,2401,6.8%,93.2%,0.073312472060796,08/21/20
DFEN,"Aerospace Defense Bull 3X Direxion",11.82,-0.25,-2.07%,2331,27.3%,72.7%,0.37522123893805,08/21/20
ERX,"Energy Bull 2X Direxion",13.38,-0.2,-1.47%,2216,17.7%,82.3%,0.21557871640154,08/21/20
SIL,"G-X Silver Miners ETF",46.74,-1.29,-2.69%,2178,25.3%,74.7%,0.33948339483395,08/21/20
UDN,"DB US Dollar Index Bearish Fund Invesco",21.08,-0.1,-0.47%,2130,0.7%,99.3%,0.0070921985815603,08/21/20
PSQ,"QQQ Short Proshares",16.55,-0.12,-0.72%,2101,4.2%,95.8%,0.044234592445328,08/21/20
IJR,"S&P Small-Cap Ishares Core ETF",73.61,-0.48,-0.65%,1831,12.2%,87.8%,0.13939016801493,08/21/20
DRIP,"S&P Oil & Gas Expl Bear 3X Direxion",5.09,0.16,+3.25%,1765,20.8%,79.2%,0.26342161775233,08/21/20
EWJ,"Japan Ishares MSCI ETF",57.61,-0.16,-0.28%,1705,64.0%,36.0%,1.7768729641694,08/21/20
FXC,"Canadian Dollar Trust Currencyshares Invesco",74.68,-0.049999999999997,-0.07%,1656,69.1%,30.9%,2.2407045009785,08/21/20
VTI,"Total Stock Market ETF Vanguard",172.22,0.43000000000001,+0.25%,1578,13.5%,86.5%,0.15604395604396,08/21/20
REM,"Mortgage Real Estate Ishares ETF",26.36,-0.15,-0.57%,1575,28.2%,71.8%,0.39257294429708,08/21/20
LABD,"S&P Biotech Bear 3X Direxion",3.26,0.13,+4.15%,1570,7.0%,93.0%,0.075342465753425,08/21/20
SSO,"Ultra S&P 500 Proshares",75.4,0.5,+0.67%,1249,31.8%,68.2%,0.46596244131455,08/21/20
RSP,"S&P 500 EW Invesco ETF",109.25,-0.2,-0.18%,1201,38.9%,61.1%,0.63623978201635,08/21/20
VXUS,"Total Intl Stock ETF Vanguard",52.99,-0.12,-0.23%,1113,0.7%,99.3%,0.0072398190045249,08/21/20
TECL,"Technology Bull 3X Direxion",326.07,11.3,+3.59%,1096,23.7%,76.3%,0.311004784689,08/21/20
SCO,"Ultrashort DJ-UBS Crude Oil Proshares",15.51,0.39,+2.58%,1096,39.0%,61.0%,0.63826606875934,08/21/20
XGD.TO,"Ishares S&P TSX Global Gold Index ETF",23.44,-0.51,-2.13%,1079,46.6%,53.4%,0.87326388888889,08/21/20
ZSL,"Ultrashort Silver Proshares",7.91,0.44,+5.89%,1046,38.4%,61.6%,0.62422360248447,08/21/20
SPTM,"SPDR Total Stock Market Portfolio ETF",41.48,0.13,+0.31%,1011,0.0%,100.0%,0,08/21/20
FEZ,"Euro Stoxx 50 ETF SPDR",37.6,-0.39,-1.03%,1011,23.0%,77.0%,0.29948586118252,08/21/20
IWR,"Russell Mid-Cap Ishares ETF",57.69,-0.12,-0.21%,988,1.5%,98.5%,0.015416238437821,08/21/20
MDY,"S&P Midcap 400 SPDR",348.53,-0.83000000000004,-0.24%,977,69.5%,30.5%,2.2785234899329,08/21/20
VIG,"Dividend Appreciation ETF Vanguard",127.96,0.27999999999999,+0.22%,973,38.2%,61.8%,0.61896838602329,08/21/20
SIVR,"Physical Silver",25.83,-0.75,-2.82%,968,18.9%,81.1%,0.23312101910828,08/21/20
QLD,"Ultra QQQ Proshares",95.11,1.25,+1.33%,958,33.2%,66.8%,0.496875,08/21/20
IWF,"Russell 1000 Growth Ishares ETF",218.53,1.12,+0.52%,952,48.1%,51.9%,0.92712550607287,08/21/20
MCHI,"China Ishares MSCI ETF",74.25,0.8,+1.09%,867,47.1%,52.9%,0.88888888888889,08/21/20
VOO,"S&P 500 ETF Vanguard",311.93,1.11,+0.36%,843,22.5%,77.5%,0.29096477794793,08/21/20
BOIL,"Ultra DJ-UBS Natural Gas Proshares",45.18,1.23,+2.80%,809,19.5%,80.5%,0.24270353302611,08/21/20
TECS,"Technology Bear 3X Direxion",13.79,-0.57,-3.97%,803,24.7%,75.3%,0.32727272727273,08/21/20
VTV,"Value ETF Vanguard",105.72,0.090000000000003,+0.09%,794,22.0%,78.0%,0.2827140549273,08/21/20
VUG,"Growth ETF Vanguard",229.46,1.25,+0.55%,781,39.3%,60.7%,0.64767932489451,08/21/20
EWU,"United Kingdom Ishares MSCI ETF",26.51,-0.27,-1.01%,779,41.7%,58.3%,0.715859030837,08/21/20
JO,"Ipatha.B Coffee Subindex TR ETN",36.07,0.090000000000003,+0.25%,770,15.8%,84.2%,0.18827160493827,08/21/20
TUR,"Turkey Ishares MSCI ETF",20.69,-0.59,-2.77%,757,83.8%,16.2%,5.1544715447154,08/21/20
BNO,"US Brent Oil",11.5,-0.16,-1.37%,754,33.3%,66.7%,0.49900596421471,08/21/20
DXD,"Ultrashort Dow 30 Proshares",15.74,-0.25,-1.56%,734,11.2%,88.8%,0.12576687116564,08/21/20
IEF,"7-10 Year Treas Bond Ishares ETF",122.12,0.09,+0.07%,698,53.3%,46.7%,1.1411042944785,08/21/20
IWD,"Russell 1000 Value Ishares ETF",119.78,0.079999999999998,+0.07%,660,5.3%,94.7%,0.056,08/21/20
IVV,"S&P 500 Ishares Core ETF",340.85,1.19,+0.35%,655,18.3%,81.7%,0.22429906542056,08/21/20
TMF,"20+ Year Trsy Bull 3X Direxion",42.32,0.75,+1.80%,652,21.5%,78.5%,0.2734375,08/21/20
VYM,"High Dividend Yield Vanguard ETF",82.64,-0.069999999999993,-0.08%,642,10.9%,89.1%,0.12237762237762,08/21/20
ICLN,"Global Clean Energy Ishares ETF",16.29,-0.01,-0.06%,614,2.0%,98.0%,0.019933554817276,08/21/20
VXZ,"Ipath S&P 500 VIX Mid-Term Futures ETN",32.68,0.57,+1.78%,600,51.3%,48.7%,1.0547945205479,08/21/20
USL,"US 12 Month Oil",15.95,-0.19,-1.18%,600,19.2%,80.8%,0.23711340206186,08/21/20
LIT,"G-X Lithium ETF",37.74,0.080000000000005,+0.21%,587,21.3%,78.7%,0.27056277056277,08/21/20
BLCN,"Reality Shares Nasdaq Nextgen Economy ETF",36.82,-0.15,-0.42%,586,0.0%,100.0%,0,08/21/20
AMLP,"Alps Alerian MLP ETF",23.8,-0.24,-1.00%,545,46.8%,53.2%,0.87931034482759,08/21/20
VDE,"Energy ETF Vanguard",48.4,-0.45,-0.92%,537,59.2%,40.8%,1.4520547945205,08/21/20
UGL,"Ultra Gold Proshares",72.87,-1.14,-1.54%,527,7.6%,92.4%,0.082135523613963,08/21/20
TIP,"TIPS Bond Ishares ETF",126.05,0.42999999999999,+0.34%,518,15.6%,84.4%,0.18535469107551,08/21/20
SPYG,"SPDR S&P 500 Growth Portfolio ETF",50.69,0.29,+0.58%,517,7.4%,92.6%,0.079331941544885,08/21/20
BETZ,"Roundhill Sports Betting & Igaming ETF",18.3,-0.25,-1.35%,508,5.5%,94.5%,0.058333333333333,08/21/20
TWM,"Ultrashort Russell 2000 Proshares",8.71,0.11,+1.28%,508,0.0%,100.0%,0,08/21/20
UGA,"US Gasoline",20.13,-0.39,-1.90%,505,39.6%,60.4%,0.65573770491803,08/21/20
EWG,"Germany Ishares MSCI ETF",29.47,-0.3,-1.01%,497,68.6%,31.4%,2.1858974358974,08/21/20
SOXX,"PHLX Semiconductor Ishares ETF",298.79,2.01,+0.68%,491,66.8%,33.2%,2.0122699386503,08/21/20
